candidate_name,end_date_numeric,end_date,average_pct,state,pct
Donald Trump,18801,2021-06-23,44, Overall,0.44
Donald Trump,18931,2021-10-31,41, Overall,0.41
Donald Trump,19132,2022-05-20,46.4, Overall,0.46399999999999997
Donald Trump,19152,2022-06-09,46.7, Overall,0.467
Donald Trump,19183,2022-07-10,43, Overall,0.43
Donald Trump,19267,2022-10-02,43, Overall,0.43
Donald Trump,19273,2022-10-08,44, Overall,0.44
Donald Trump,19302,2022-11-06,51.333333333333336, Overall,0.5133333333333333
Donald Trump,19394,2023-02-06,42, Overall,0.42
Donald Trump,19397,2023-02-09,37, Overall,0.37
Donald Trump,19414,2023-02-26,41, Overall,0.41
Donald Trump,19454,2023-04-07,35, Overall,0.35
Donald Trump,19460,2023-04-13,43, Overall,0.43
Donald Trump,19466,2023-04-19,42, Overall,0.42
Donald Trump,19467,2023-04-20,44.5, Overall,0.445
Donald Trump,19473,2023-04-26,40, Overall,0.4
Donald Trump,19474,2023-04-27,43, Overall,0.43
Donald Trump,19494,2023-05-17,43.5, Overall,0.435
Donald Trump,19496,2023-05-19,48.48, Overall,0.48479999999999995
Donald Trump,19521,2023-06-13,43, Overall,0.43
Donald Trump,19527,2023-06-19,44.333333333333336, Overall,0.44333333333333336
Donald Trump,19534,2023-06-26,47, Overall,0.47
Donald Trump,19536,2023-06-28,50.57142857142857, Overall,0.5057142857142857
Donald Trump,19544,2023-07-06,43, Overall,0.43
Donald Trump,19548,2023-07-10,44, Overall,0.44
Donald Trump,19562,2023-07-24,46, Overall,0.46
Donald Trump,19571,2023-08-02,43.45, Overall,0.43450000000000005
Donald Trump,19573,2023-08-04,43.25, Overall,0.4325
Donald Trump,19589,2023-08-20,40, Overall,0.4
Donald Trump,19612,2023-09-12,43, Overall,0.43
Donald Trump,19626,2023-09-26,44.5, Overall,0.445
Donald Trump,19627,2023-09-27,44, Overall,0.44
Donald Trump,19628,2023-09-28,45, Overall,0.45
Donald Trump,19632,2023-10-02,47, Overall,0.47
Donald Trump,19633,2023-10-03,45, Overall,0.45
Donald Trump,19634,2023-10-04,43.266666666666666, Overall,0.43266666666666664
Donald Trump,19640,2023-10-10,45.857142857142854, Overall,0.4585714285714285
Donald Trump,19652,2023-10-22,42, Overall,0.42
Donald Trump,19661,2023-10-31,46, Overall,0.46
Donald Trump,19663,2023-11-02,48, Overall,0.48
Donald Trump,19664,2023-11-03,43.55555555555556, Overall,0.4355555555555556
Donald Trump,19665,2023-11-04,44.516666666666666, Overall,0.44516666666666665
Donald Trump,19666,2023-11-05,39, Overall,0.39
Donald Trump,19668,2023-11-07,43.214285714285715, Overall,0.43214285714285716
Donald Trump,19680,2023-11-19,40.05, Overall,0.40049999999999997
Donald Trump,19684,2023-11-23,38.9, Overall,0.389
Donald Trump,19697,2023-12-06,44.125, Overall,0.44125
Donald Trump,19698,2023-12-07,45.25, Overall,0.4525
Donald Trump,19704,2023-12-13,39, Overall,0.39
Donald Trump,19709,2023-12-18,47.5, Overall,0.475
Donald Trump,19730,2024-01-08,43.55, Overall,0.4355
Donald Trump,19732,2024-01-10,41, Overall,0.41
Donald Trump,19733,2024-01-11,44.7, Overall,0.447
Donald Trump,19743,2024-01-21,45.785714285714285, Overall,0.45785714285714285
Donald Trump,19750,2024-01-28,39.5, Overall,0.395
Donald Trump,19752,2024-01-30,46.25, Overall,0.4625
Donald Trump,19753,2024-01-31,44.333333333333336, Overall,0.44333333333333336
Donald Trump,19754,2024-02-01,45, Overall,0.45
Donald Trump,19761,2024-02-08,40, Overall,0.4
Donald Trump,19765,2024-02-12,46.3, Overall,0.46299999999999997
Donald Trump,19769,2024-02-16,47.516666666666666, Overall,0.4751666666666667
Donald Trump,19771,2024-02-18,45.92857142857143, Overall,0.4592857142857143
Donald Trump,19772,2024-02-19,46.25, Overall,0.4625
Donald Trump,19776,2024-02-23,43.5, Overall,0.435
Donald Trump,19777,2024-02-24,44.35, Overall,0.4435
Donald Trump,19780,2024-02-27,39, Overall,0.39
Donald Trump,19785,2024-03-03,52, Overall,0.52
Donald Trump,19787,2024-03-05,42.5, Overall,0.425
Donald Trump,19789,2024-03-07,48.1, Overall,0.48100000000000004
Donald Trump,19793,2024-03-11,45.75, Overall,0.4575
Donald Trump,19794,2024-03-12,45.1, Overall,0.451
Donald Trump,19795,2024-03-13,47.75, Overall,0.4775
Donald Trump,19796,2024-03-14,46.25, Overall,0.4625
Donald Trump,19797,2024-03-15,46.4, Overall,0.46399999999999997
Donald Trump,19800,2024-03-18,45.477777777777774, Overall,0.4547777777777777
